Time,Ask,Bid,AskVolume,BidVolume
10.02.2014 01:16:34.551,6.03090,6.02830,0.06,0.09
10.02.2014 01:16:38.556,6.03090,6.02810,0.09,0.11
10.02.2014 01:16:46.566,6.03030,6.02730,0.06,0.11
10.02.2014 01:16:48.668,6.03050,6.02750,0.06,0.09
10.02.2014 01:16:52.573,6.03100,6.02800,0.10,0.09
10.02.2014 01:17:00.683,6.03060,6.02810,0.11,0.08
10.02.2014 01:17:04.588,6.03000,6.02730,0.08,0.06
10.02.2014 01:17:18.605,6.03050,6.02750,0.09,0.10
10.02.2014 01:17:40.531,6.03100,6.02740,0.11,0.09
10.02.2014 01:17:44.636,6.03090,6.02740,0.08,0.11
10.02.2014 01:18:32.594,6.03080,6.02780,0.06,0.06
10.02.2014 01:18:40.603,6.03070,6.02720,0.06,0.11
10.02.2014 01:19:02.629,6.03000,6.02780,0.08,0.11
10.02.2014 01:19:08.636,6.03070,6.02680,0.11,0.06
10.02.2014 01:19:12.641,6.03050,6.02750,0.09,0.10
10.02.2014 01:19:16.546,6.03050,6.02680,0.11,0.09
10.02.2014 01:19:32.567,6.03050,6.02690,0.10,0.10
10.02.2014 01:19:34.569,6.03040,6.02690,0.10,0.08
10.02.2014 01:19:44.581,6.03050,6.02680,0.06,0.08
10.02.2014 01:20:30.641,6.03040,6.02690,0.10,0.10
10.02.2014 01:23:08.633,6.03010,6.02690,0.06,0.09
10.02.2014 01:23:12.638,6.03060,6.02760,0.10,0.09
10.02.2014 01:23:14.640,6.03050,6.02700,0.08,0.09
10.02.2014 01:23:28.558,6.03050,6.02750,0.06,0.11
10.02.2014 01:24:24.621,6.03050,6.02700,0.06,0.08
10.02.2014 01:25:00.662,6.03060,6.02760,0.11,0.09
10.02.2014 01:25:10.576,6.03030,6.02730,0.09,0.11
10.02.2014 01:25:38.610,6.03050,6.02730,0.09,0.08
10.02.2014 01:25:48.522,6.02990,6.02750,0.11,0.09
10.02.2014 01:25:58.534,6.03050,6.02770,0.06,0.10
10.02.2014 01:26:02.639,6.02980,6.02770,0.10,0.09
10.02.2014 01:26:04.541,6.03050,6.02770,0.06,0.08
10.02.2014 01:26:20.661,6.03060,6.02710,0.10,0.11
10.02.2014 01:27:32.649,6.03010,6.02720,0.08,0.11
10.02.2014 01:27:36.653,6.03100,6.02720,0.09,0.06
10.02.2014 01:27:38.656,6.03070,6.02730,0.06,0.09
10.02.2014 01:27:40.558,6.03110,6.02740,0.09,0.06
10.02.2014 01:27:42.661,6.03110,6.02840,0.08,0.08
10.02.2014 01:27:46.566,6.03080,6.02750,0.11,0.09
10.02.2014 01:27:48.668,6.03100,6.02820,0.11,0.11
10.02.2014 01:27:50.570,6.03120,6.02830,0.09,0.10
10.02.2014 01:27:52.573,6.03120,6.02750,0.10,0.08
10.02.2014 01:27:54.675,6.03110,6.02840,0.08,0.08
10.02.2014 01:27:56.578,6.03070,6.02850,0.09,0.09
10.02.2014 01:27:58.580,6.03090,6.02760,0.06,0.10
10.02.2014 01:28:00.683,6.03070,6.02840,0.06,0.11
10.02.2014 01:28:38.628,6.03100,6.02760,0.11,0.10
10.02.2014 01:28:46.537,6.03130,6.02840,0.06,0.06
10.02.2014 01:28:58.550,6.03110,6.02870,0.06,0.08
10.02.2014 01:29:00.653,6.03140,6.02780,0.11,0.06
10.02.2014 01:29:04.557,6.03150,6.02880,0.09,0.10
10.02.2014 01:29:20.576,6.03160,6.02800,0.11,0.06
10.02.2014 01:30:00.621,6.03150,6.02860,0.08,0.10
10.02.2014 01:30:02.627,6.03060,6.02880,0.11,0.10
10.02.2014 01:30:56.589,6.03060,6.02860,0.10,0.11
10.02.2014 01:31:20.617,6.03050,6.02850,0.09,0.11
10.02.2014 01:31:32.631,6.03040,6.02850,0.08,0.10
10.02.2014 01:31:38.638,6.03100,6.02860,0.06,0.06
10.02.2014 01:31:52.553,6.03050,6.02870,0.09,0.08
10.02.2014 01:32:04.567,6.03050,6.02840,0.08,0.10
10.02.2014 01:32:06.669,6.03040,6.02850,0.06,0.11
10.02.2014 01:32:24.689,6.03070,6.02840,0.10,0.08
10.02.2014 01:32:28.594,6.03070,6.02830,0.08,0.09
10.02.2014 01:32:32.599,6.03050,6.02860,0.08,0.09
10.02.2014 01:33:02.636,6.03050,6.02870,0.06,0.08
10.02.2014 01:33:28.569,6.03080,6.02840,0.08,0.10
10.02.2014 01:33:32.574,6.03050,6.02850,0.11,0.11
10.02.2014 01:33:36.679,6.03030,6.02840,0.10,0.10
10.02.2014 01:33:42.686,6.03040,6.02860,0.06,0.10
10.02.2014 01:33:44.589,6.03040,6.02840,0.09,0.10
10.02.2014 01:33:46.591,6.03070,6.02850,0.10,0.08
10.02.2014 01:33:54.601,6.03060,6.02860,0.11,0.10
10.02.2014 01:33:56.603,6.03080,6.02860,0.08,0.08
10.02.2014 01:33:58.606,6.03090,6.02860,0.06,0.06
10.02.2014 01:34:00.608,6.03050,6.02840,0.08,0.08
10.02.2014 01:34:18.630,6.03070,6.02830,0.10,0.10
10.02.2014 01:34:20.632,6.03030,6.02830,0.11,0.11
10.02.2014 01:35:10.595,6.03030,6.02820,0.09,0.09
10.02.2014 01:35:36.628,6.03100,6.02820,0.10,0.09
10.02.2014 01:35:38.630,6.03050,6.02780,0.08,0.06
10.02.2014 01:36:40.607,6.03000,6.02790,0.11,0.11
10.02.2014 01:36:58.629,6.02980,6.02800,0.06,0.06
10.02.2014 01:38:56.667,6.02970,6.02790,0.11,0.06
10.02.2014 01:39:32.606,6.02980,6.02770,0.08,0.11
10.02.2014 01:39:34.608,6.02970,6.02760,0.09,0.09
10.02.2014 01:39:50.623,6.03000,6.02740,0.11,0.11
10.02.2014 01:39:56.629,6.03030,6.02770,0.11,0.09
10.02.2014 01:39:58.632,6.03000,6.02700,0.10,0.10
10.02.2014 01:40:00.634,6.02960,6.02760,0.08,0.08
10.02.2014 01:40:10.549,6.02970,6.02760,0.10,0.09
10.02.2014 01:40:20.659,6.02980,6.02790,0.08,0.10
10.02.2014 01:40:26.667,6.03030,6.02730,0.09,0.06
10.02.2014 01:40:30.671,6.02980,6.02780,0.11,0.08
10.02.2014 01:45:08.613,6.02980,6.02790,0.06,0.09
10.02.2014 01:47:00.656,6.03020,6.02780,0.08,0.06
10.02.2014 01:48:30.667,6.02960,6.02770,0.09,0.11
10.02.2014 01:48:32.668,6.02970,6.02780,0.10,0.09
10.02.2014 01:48:40.576,6.02990,6.02790,0.09,0.10
